ocm_id,ocm_uuid,ocm_title,ocm_latitude,ocm_longitude,ocm_operator,ocm_usage_cost,ocm_number_of_points,ocm_address_line1,ocm_town,ocm_postcode,ocm_plug_types,ocm_connection_count,ocm_max_power_kw,ocm_date_last_verified
508351,620C37C5-F677-4D0D-89C7-503A7E979F98,Shire of Denmark - Community Resource Centre,-34.95816847256546,117.35367154591427,WeVolt (AU),$0.55/kWh,2.0,2 Strickland Street,Denmark,,CCS (Type 2),1,150.0,2026-09-11T16:33:00Z
508350,0AD83580-7B5F-49C8-9244-CDA9E50B6A39,Oporto - South Perth,-31.974940124624283,115.88325858111875,Evie,,4.0,11 Berwick Street,Victoria Park,6100,CCS (Type 2),1,75.0,2026-09-11T16:23:00Z
508148,6C82870F-C69E-47A9-A3CB-EEA560343C98,Pacific Highway,-33.40800720332305,151.35111958796483,BP Pulse (AU),55c/kWh,6.0,Pacific Highway,,2250,CCS (Type 2); CHAdeMO,3,300.0,2026-09-09T01:02:00Z
508142,CAD60297-D8E5-4318-AFF7-879E58DFAA6C,Avoca Drive,-33.467599121018274,151.38250721850739,Ampol AmpCharge,$0.75/kWh for pay-as-you-go charging.,2.0,Avoca Drive,,2251,CCS (Type 2),1,120.0,2026-09-08T21:36:00Z
507934,DF3AF330-6BBD-4145-8F4A-1CEFB85E2F74,Elanga,-33.9571180970125,116.13740706853389,Elanga (AU),$0.78/kWh,2.0,154 Hampton St,Bridgetown,6255,Unknown,1,300.0,2026-09-06T02:33:00Z
506954,ED8129AB-8837-43DB-8C83-9658DB4556CE,Davies St Brunswick,-37.756494889019955,144.96431073892893,Chargefox,,1.0,Davies St,Brunswick,3056,Type 2 (Socket Only),1,22.0,2026-09-01T07:22:00Z
506085,0E7D9F98-DFEA-4580-B6FA-E1F9679BDA38,Mount Buller - Horse Hill Carpark,-37.1397387415812,146.45445288686358,Chargefox,,4.0,Horse Hill Carpark,Mount Buller,3723,Type 2 (Socket Only),1,22.0,2026-08-26T23:16:00Z
506084,51C0DBCA-0932-4C3B-8A00-85F5242F30BB,Mansfield Supercharger,-37.06056890800963,146.09840040086385,Tesla (including non-tesla),,6.0,Mount Buller Road,Mansfield,3722,CCS (Type 2),1,325.0,2026-08-26T23:01:00Z
504658,F12BB592-02B0-440B-AA96-94DC716FA1CF,Laverton Supercharger,-37.871725918188744,144.77486861441935,Tesla (including non-tesla),,6.0,1 Central Avenue,,3028,CCS (Type 2),1,250.0,2026-08-18T01:58:00Z
500551,B0048B30-E83C-4333-A47B-48235CA3272E,Victoria River Roadhouse,-15.616474007412933,131.12717595040476,NRMA,,2.0,19405 Victoria Hwy,Gregory,0852,CCS (Type 2),2,80.0,2026-07-26T11:24:00Z
498409,D4BCDC7A-84B3-404B-8702-8F5F634CEF50,Coober Pedy Visitor Information Centre,-29.014845262625258,134.75548326288867,Chargefox,,3.0,St Nicholas St,Coober Pedy,,CCS (Type 2); Type 2 (Socket Only),2,150.0,2026-07-12T00:54:00Z
498408,24C48B46-5928-4099-BEC0-B193BE1881AD,Glendambo SA,-30.968192758908053,135.74928467618292,Chargefox,,1.0,80 Glendambo Access Rd,Glendambo,,CCS (Type 2),1,30.0,2026-07-12T00:47:00Z
498407,BF566DDB-6068-4C0B-A921-6FFF6840B958,Woolworths Roxby Downs,-30.561912496547357,136.89800170008175,Chargefox,,2.0,12/28 Richardson Pl,Roxby Downs,5725,CCS (Type 2); Type 2 (Socket Only),2,150.0,2026-07-12T00:40:00Z
498406,014C88B4-F314-4810-A21D-05004238F3BC,Leigh Creek South Motors,-30.591813536503828,138.3992664786931,Chargefox,,1.0,18 Black Oak Dr,Leigh Creek,5731,CCS (Type 2); Type 2 (Socket Only),2,150.0,2026-07-12T00:34:00Z
498405,1984057C-201A-4564-8A46-6E8D46230A10,Hawker Visitor Information Centre,-31.887712332915605,138.42340228320154,Chargefox,,2.0,13 Flinders Ranges Way,Hawker,5434,CCS (Type 2); Type 2 (Socket Only),2,150.0,2026-07-12T00:29:00Z
